Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,359.7661164,363.1012531,354.0336902,379.9555903,384.0780637,429.4122672,437.4197517,512.408957,569.282354,551.0006237,596.44244,608.3863319,602.5166003,592.4761648,590.4273674,588.9300803,578.9855448,584.3865153,553.036131,426.2294013
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2247.498086,2380.644627,2522.449381,2675.508644,2851.367767,3044.896625,3298.478917,3432.170881,3577.114334,3678.047711,3736.340089,3780.699203,3855.760754,3952.803584,4090.372739,4249.820061,4431.555607,4543.387723,4418.660885,4857.111955
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3321.63775,3512.899037,3612.752968,3774.071242,3783.312951,3848.778238,3874.368056,3866.295746,3931.720046,3969.660263,4025.64147,4057.764794,4129.422535,4197.419971,4246.24216,4218.082305,4188.220371,4153.003441,3873.508733,3939.360851
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12804.43584,12980.7223,13105.16908,13136.48008,12690.52911,13029.61628,12795.02456,12378.17019,12532.31112,12656.68814,12247.63529,12098.27515,12494.98021,13101.54182,13116.43098,12442.85767,13049.33015,13288.35656,14303.62703,14396.36856
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,35749.92891,37250.29519,38696.49461,39307.14086,40994.44761,42724.5672,41470.43793,40442.78511,40937.27407,41486.19948,39174.89729,37597.70533,38402.64926,38885.53032,39886.64009,39321.61431,39320.09245,39413.79088,34394.41404,36616.10076
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2040.194755,2030.686208,2175.414769,2414.918484,2598.795671,2856.988846,3061.636272,2975.993427,2992.992925,2982.665231,3118.020183,3152.515808,3185.009706,3100.830685,2914.412131,2808.598715,2677.249833,2569.701651,2346.846019,2300.974614
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13358.81437,14010.84906,14656.29262,15423.80002,17163.39783,18505.79067,18228.64913,15804.44514,14367.9515,13918.59653,14232.96959,14015.87931,14427.40691,14861.88271,15570.90406,15962.72887,16957.63268,17599.96872,14433.8798,15288.43788
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8895.319642,9581.969792,10341.64341,11141.31067,11913.95853,12857.09258,13246.63489,12336.86194,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12716.2242,11341.26837,12402.49079
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1582.057623,1815.788226,2018.460143,2312.982863,2636.256651,3019.465563,3250.498614,2810.192843,2889.566231,3043.262789,3278.670451,3402.083858,3538.529395,3666.141825,3689.830085,3985.916702,4215.899398,4561.967803,4256.131232,4522.319045
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29059.48651,29093.57824,30931.9365,30505.33919,30490.36584,31051.00157,31230.19304,27243.3332,26200.7273,26829.63448,26337.58506,27821.7916,27624.3773,28421.38649,28852.23707,30270.9416,31705.27882,31762.73396,25823.63494,30271.83363
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,47534.54521,48453.0138,49959.07241,50911.13414,51605.3146,52586.40939,53382.31006,53271.59019,53606.58144,54131.10471,55269.91928,55727.73415,56318.63598,56708.9612,57354.54981,57701.52385,58479.50355,58868.48063,58115.93067,59339.68435
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39636.48261,39815.22195,40651.22662,41281.27076,42496.35105,43937.71289,44440.05589,42655.19213,43334.50896,44451.00019,44549.8817,44299.37818,44245.16874,44195.81759,44590.25163,45281.7234,46154.6251,46647.08096,43455.70007,45238.39071
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1754.135552,1918.611377,2077.885638,2631.851919,3501.165445,4327.114371,4693.077911,5023.96818,5215.205078,5152.839415,5194.921837,5426.096903,5506.182671,5500.50462,5270.739099,5229.710816,5262.369637,5348.454136,5083.561155,5345.440811
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,33129.16447,32276.53619,32124.97811,32765.41644,33127.17526,33136.44745,31908.9393,30139.34127,30175.44476,29984.75473,30577.75063,29425.80002,29701.29036,29724.95334,29459.05221,29940.41847,30181.18406,29760.3414,22657.03516,26412.01211
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,21866.04923,22348.90481,22325.70308,22027.33131,21783.85153,22013.75842,21918.00506,21157.79342,21452.92152,21906.74643,22484.85482,23012.70834,23107.95659,22795.44886,22810.77492,23019.25574,23023.11978,23414.21907,22579.36201,23407.19585
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,678.8675118,698.7320886,723.2278415,758.8899765,799.7814782,847.2819519,890.296171,927.0180908,967.5610849,1017.627735,1070.595168,1120.685339,1173.893005,1236.004398,1307.732333,1376.60347,1460.304234,1557.964334,1593.347407,1684.433487
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16320.56803,16610.53694,16781.89833,17382.7728,18380.66991,18692.12112,18729.59024,17714.67524,17237.77116,17071.05344,16953.43554,16667.73838,16615.50544,16990.21947,17385.20075,17430.87321,17220.931,17168.14569,14855.68986,14800.83815
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2912.139456,3139.138336,3522.50932,3880.035815,4294.252406,4685.006185,5180.740978,5203.883649,5621.968247,5938.253501,6047.904556,6110.938443,6212.93643,5967.069185,5811.251148,5964.914987,6165.958532,6267.765795,6252.009473,6457.751946
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,36393.24177,36617.38038,37761.28132,38426.05191,39147.76356,40290.22776,40151.84987,39025.22079,39777.92528,39929.09514,39975.57364,39970.3175,40421.42079,41008.29672,41318.01964,41825.76283,42382.31828,43107.21482,40620.10422,42971.05804
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5903.978933,6259.038916,6353.227391,6301.915865,6400.181438,6421.955138,6148.522801,5955.111038,5881.382237,5742.670206,5831.158848,5960.360401,6069.46148,6142.478833,6024.835945,5806.065449,5756.852249,5907.348872,5040.122521,5733.102574
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,922.4176387,925.8492611,938.0381781,924.2695241,931.7691409,959.5549935,977.3031632,970.9659689,962.8161095,962.7445897,980.0746132,1020.528234,1054.108767,1041.652523,1045.150937,1072.361966,1111.22724,1153.72621,1164.708967,1214.07759
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,113172.1206,116268.8169,118193.1487,119396.4494,125294.9594,128757.8807,125610.0334,117886.738,115839.796,112471.3475,106119.795,105492.4807,101374.4698,102005.6256,102407.3944,107237.0318,106697.7375,107036.2393,99745.24161,102959.2549
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1272.631794,1338.508636,1385.39642,1456.479778,1535.427863,1795.071775,1859.070433,1961.938745,2171.909785,2319.590919,2411.896385,2436.859762,2551.483055,2695.636904,2889.493866,2998.473185,3065.853525,3219.641439,2878.435707,2976.90442
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2029.617944,2048.559818,2097.258353,2152.36197,2216.544709,2277.503826,2376.078089,2414.129945,2471.473633,2556.830269,2643.690816,2777.720532,2882.806896,2975.648811,3054.892548,3135.031646,3219.200892,3242.948845,2920.197447,3061.738613
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2735.535837,2851.274124,3061.55204,3218.594848,3423.12467,3669.017529,3932.01611,3878.441244,3980.443104,4091.582704,4133.903552,4297.494357,4403.674797,4654.609552,4865.352265,5082.998271,5339.478137,5558.082553,5459.220722,5947.820509
Botswana,BWA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5030.143115,5171.415723,5219.287812,5359.889071,5700.081493,5912.926401,5982.516746,5031.861471,5428.164396,5684.219914,5566.546664,6067.851147,6291.249285,5869.737772,6166.090252,6287.60286,6418.577655,6485.46044,5810.757427,6394.984433
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6868.695117,6865.172461,7178.346659,7325.902707,7534.541633,7909.824337,8231.099426,8142.760111,8673.897385,8935.276286,9025.312958,9216.131219,9183.45867,8783.214413,8426.842251,8470.939629,8553.864918,8592.210218,8255.567064,8621.73059
British Virgin Islands,VGB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34857.39714,35202.79307,34750.57756,34290.11465,35213.22241,34714.54414,33526.00643,32449.83399,32810.50735,33577.06422,33456.26907,32341.89266,31155.74763,30681.43744,29601.09985,29695.88418,29437.86851,30313.41729,30401.84726,29673.16927
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4263.982819,4522.979796,4853.944569,5235.73159,5634.529392,6050.245919,6465.503985,6294.385308,6433.644244,6611.08491,6699.687801,6699.525442,6802.858113,7081.102336,7347.710693,7606.022279,7866.825981,8242.313996,7963.690754,8641.818899
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,449.8539312,470.1295826,476.0099809,501.2072502,516.1767677,521.3452592,535.5836447,535.5168345,563.9267767,583.6794771,602.7867589,618.8045833,626.6262508,632.1266858,650.4172609,671.2517963,696.0445709,716.0121974,710.4713551,739.6727249
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,313.4864058,300.0861529,303.11967,294.7387733,299.7691208,298.9366604,300.8413492,296.8470948,297.791727,299.0171756,301.4813192,305.2908352,307.7655312,289.3596271,282.9759665,277.959803,274.1319084,270.1372773,263.3609886,264.3648329
Cabo Verde,CPV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2099.900161,2156.347932,2344.518792,2474.824866,2639.962729,3005.229422,3181.450833,3101.393855,3124.572105,3208.367141,3204.601898,3188.569691,3174.705331,3169.078915,3267.87903,3376.938299,3463.812834,3690.656476,2949.579204,3122.159819
Cambodia,KHM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,542.654743,578.4093554,627.0082134,697.7467582,759.643395,822.7540867,863.3869748,851.2030243,888.9125883,938.0176771,992.1346004,1049.994506,1109.375653,1170.742816,1235.323404,1304.549389,1384.968023,1465.969535,1404.198655,1429.937027
Cameroon,CMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1175.871674,1206.610512,1256.69365,1250.058883,1262.871906,1281.392485,1281.019837,1277.181619,1277.265693,1283.567041,1305.668033,1332.860004,1366.966595,1399.675336,1420.029872,1429.234685,1445.267771,1454.564069,1419.328208,1432.862689
