Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.119046168,0.883192104,2.547386592,4.915778177,9.905952707,18.02123984,29.88931593,38.34172829,36.23965543,47.17359546,50.35079702,53.28634042,56.26314295,58.39109599,62.37109623,67.13641492,59.90264778,59.78387904,58.1902139,56.55443457
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,27.24463279,35.56428066,41.12783099,50.45923775,63.59103905,78.03664144,63.00230139,84.07120051,92.41340015,106.8724501,121.0154371,127.67458,116.4887372,117.9871153,116.9622462,125.9205273,94.36446759,91.51642864,91.35050062,92.31992041
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1.423710128,4.51376415,15.0181054,41.45244865,62.80216467,81.10540402,78.19436226,92.99292417,91.42082361,97.46161442,100.7169538,103.9905106,111.7079111,109.3176407,116.6140394,111.4475314,112.4675177,106.3696091,104.842178,106.4235366
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,3.499664816,3.624439075,3.904487558,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,46.28218157,70.21296747,75.86601328,80.87590509,86.01844926,81.23912599,84.41522582,87.40318475,91.57706344,92.17208933,89.93550386,89.58187372,92.48694535,99.42853957,104.9517508,108.8046481,110.1329103,115.1500465,103.4491634,118.6729762
Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.799262897,1.931104589,3.942225093,8.282974634,15.15012642,23.72841216,31.22582177,36.02958262,40.24692066,49.76776766,50.75814192,50.80964158,51.80029281,49.36244924,44.59350803,44.10644535,42.49094914,45.8377414,43.81009059,44.42373173
Antigua and Barbuda,ATG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,49.49154738,59.04654558,68.40551805,107.67632,136.1958564,137.0232638,164.0725036,159.6103343,196.009102,202.940193,145.2893674,129.2224595,134.5208212,195.6860129,198.754472,201.933735,..,199.7481436,198.5668652,197.3825359
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,17.33333812,20.48748472,34.94389378,56.70883514,79.81991978,101.3182303,115.4815533,128.9999606,138.8859542,146.2467408,153.3349717,158.9154655,142.9902363,142.9639551,145.9179567,140.5014607,131.9371685,125.9409814,121.6001889,130.4550081
Armenia,ARM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2.297846274,3.708664629,6.631634399,10.43709632,41.62457715,62.45557755,48.33377522,73.92986395,131.1938086,109.6360981,114.013624,115.3337511,119.696221,120.3535058,119.8452458,122.3218158,126.1831509,128.2969735,124.3508359,128.961359
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,67.33419771,75.45981165,105.1838786,109.4556693,114.0409598,117.3566698,123.2764603,129.0166512,131.3507803,..,132.2077719,134.9144635,134.8533699,135.2427175,..,..,..,132.4665076,132.2887836,132.3496283
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,65.05494704,72.83111188,82.70993065,91.31591136,96.54551735,102.0602734,104.1045379,102.4888541,102.1836974,106.4049909,107.0777947,107.910329,106.7765212,108.1853261,109.7343698,108.4165835,110.6519296,110.29622,105.231579,104.5172138
Austria,AUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,83.37673809,89.58013346,97.80672818,105.3234981,112.2552739,119.4976758,129.9823149,137.0500745,146.3739125,155.1932739,161.1931998,156.5179428,151.5621925,155.8663134,126.8182509,123.4328495,124.2461975,120.7891044,120.3155961,121.9694798
Azerbaijan,AZE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,9.486239279,12.49184326,17.02308418,25.90039991,37.92497713,50.89874753,72.75801316,85.05960989,98.51590341,108.1321708,106.7431224,105.3629953,108.3211865,108.4519054,102.1325853,100.550391,101.8436601,105.0577494,100.577047,104.8878056
"Bahamas, The",BHS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,36.45457213,36.10978168,54.2152205,65.48832101,71.73598666,104.5665509,98.69209884,97.4881608,114.7626932,79.05543061,78.52149264,74.41981071,80.9089998,79.24028134,90.965109,88.60207508,96.71589874,105.1785039,114.6450432,97.42269052
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,51.98149465,56.93614954,77.96067195,85.05212763,93.45537498,107.2508102,129.7600831,118.8664576,129.1151861,139.7312217,173.3884708,175.1793056,177.6320346,184.9333623,212.4528521,162.3024312,140.7017898,128.4065325,119.86485,131.4487123
Bangladesh,BGD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.80140256,0.999976513,2.004154126,6.386938172,13.41312473,23.84554569,30.69701239,35.00813289,45.77354649,56.1667898,63.89610407,75.66900657,81.34459807,83.23875309,85.10324101,93.29458051,98.83168698,100.0336994,105.2911628,108.9094426
